AREA-LATENCY PARETO ANALYSIS SUMMARY
================================================================================

DFG: fir_filter
Total configurations tested: 42
Pareto-optimal points: 10

All points (Latency, Area, Config):
  ( 30,  1400)  ADD1_MUL1 [PARETO]
  ( 21,  1770)  ADD1_MUL2 [PARETO]
  ( 20,  2140)  ADD1_MUL3
  ( 20,  2510)  ADD1_MUL4
  ( 20,  2880)  ADD1_MUL5
  ( 20,  3250)  ADD1_MUL6
  ( 29,  1470)  ADD2_MUL1 [PARETO]
  ( 16,  1840)  ADD2_MUL2 [PARETO]
  ( 12,  2210)  ADD2_MUL3 [PARETO]
  ( 12,  2580)  ADD2_MUL4
  ( 12,  2950)  ADD2_MUL5
  ( 12,  3320)  ADD2_MUL6
  ( 29,  1470)  ADD3_MUL1 [PARETO]
  ( 16,  1910)  ADD3_MUL2
  ( 12,  2280)  ADD3_MUL3
  ( 12,  2650)  ADD3_MUL4
  ( 12,  3020)  ADD3_MUL5
  ( 12,  3390)  ADD3_MUL6
  ( 29,  1470)  ADD4_MUL1 [PARETO]
  ( 16,  1980)  ADD4_MUL2
  ( 12,  2350)  ADD4_MUL3
  ( 12,  2720)  ADD4_MUL4
  ( 12,  3090)  ADD4_MUL5
  ( 12,  3460)  ADD4_MUL6
  ( 29,  1470)  ADD5_MUL1 [PARETO]
  ( 16,  1980)  ADD5_MUL2
  ( 12,  2350)  ADD5_MUL3
  ( 12,  2720)  ADD5_MUL4
  ( 12,  3090)  ADD5_MUL5
  ( 12,  3460)  ADD5_MUL6
  ( 29,  1470)  ADD6_MUL1 [PARETO]
  ( 16,  1980)  ADD6_MUL2
  ( 12,  2350)  ADD6_MUL3
  ( 12,  2720)  ADD6_MUL4
  ( 12,  3090)  ADD6_MUL5
  ( 12,  3460)  ADD6_MUL6
  ( 29,  1470)  ADD8_MUL1 [PARETO]
  ( 16,  1980)  ADD8_MUL2
  ( 12,  2350)  ADD8_MUL3
  ( 12,  2720)  ADD8_MUL4
  ( 12,  3090)  ADD8_MUL5
  ( 12,  3460)  ADD8_MUL6

DFG: diffeq_solver
Total configurations tested: 112
Pareto-optimal points: 24
  ( 32,  1770)  ADD1_MUL1_SUB1 [PARETO]
  ( 32,  1770)  ADD1_MUL1_SUB2 [PARETO]
  ( 32,  1770)  ADD1_MUL1_SUB3 [PARETO]
  ( 32,  1770)  ADD1_MUL1_SUB4 [PARETO]
  ( 28,  2140)  ADD1_MUL2_SUB1 [PARETO]
  ( 28,  2140)  ADD1_MUL2_SUB2 [PARETO]
  ( 28,  2140)  ADD1_MUL2_SUB3 [PARETO]
  ( 28,  2140)  ADD1_MUL2_SUB4 [PARETO]
  ( 27,  2510)  ADD1_MUL3_SUB1
  ( 27,  2510)  ADD1_MUL3_SUB2
  ( 27,  2510)  ADD1_MUL3_SUB3
  ( 27,  2510)  ADD1_MUL3_SUB4
  ( 27,  2510)  ADD1_MUL4_SUB1
  ( 27,  2510)  ADD1_MUL4_SUB2
  ( 27,  2510)  ADD1_MUL4_SUB3
  ( 27,  2510)  ADD1_MUL4_SUB4
  ( 31,  1840)  ADD2_MUL1_SUB1 [PARETO]
  ( 31,  1840)  ADD2_MUL1_SUB2 [PARETO]
  ( 31,  1840)  ADD2_MUL1_SUB3 [PARETO]
  ( 31,  1840)  ADD2_MUL1_SUB4 [PARETO]
  ( 24,  2210)  ADD2_MUL2_SUB1 [PARETO]
  ( 24,  2210)  ADD2_MUL2_SUB2 [PARETO]
  ( 24,  2210)  ADD2_MUL2_SUB3 [PARETO]
  ( 24,  2210)  ADD2_MUL2_SUB4 [PARETO]
  ( 23,  2580)  ADD2_MUL3_SUB1 [PARETO]
  ( 23,  2580)  ADD2_MUL3_SUB2 [PARETO]
  ( 23,  2580)  ADD2_MUL3_SUB3 [PARETO]
  ( 23,  2580)  ADD2_MUL3_SUB4 [PARETO]
  ( 23,  2580)  ADD2_MUL4_SUB1 [PARETO]
  ( 23,  2580)  ADD2_MUL4_SUB2 [PARETO]
  ( 23,  2580)  ADD2_MUL4_SUB3 [PARETO]
  ( 23,  2580)  ADD2_MUL4_SUB4 [PARETO]
  ( 31,  1910)  ADD3_MUL1_SUB1
  ( 31,  1910)  ADD3_MUL1_SUB2
  ( 31,  1910)  ADD3_MUL1_SUB3
  ( 31,  1910)  ADD3_MUL1_SUB4
  ( 24,  2280)  ADD3_MUL2_SUB1
  ( 24,  2280)  ADD3_MUL2_SUB2
  ( 24,  2280)  ADD3_MUL2_SUB3
  ( 24,  2280)  ADD3_MUL2_SUB4
  ( 23,  2650)  ADD3_MUL3_SUB1
  ( 23,  2650)  ADD3_MUL3_SUB2
  ( 23,  2650)  ADD3_MUL3_SUB3
  ( 23,  2650)  ADD3_MUL3_SUB4
  ( 23,  2650)  ADD3_MUL4_SUB1
  ( 23,  2650)  ADD3_MUL4_SUB2
  ( 23,  2650)  ADD3_MUL4_SUB3
  ( 23,  2650)  ADD3_MUL4_SUB4
  ( 31,  1910)  ADD4_MUL1_SUB1
  ( 31,  1910)  ADD4_MUL1_SUB2
  ( 31,  1910)  ADD4_MUL1_SUB3
  ( 31,  1910)  ADD4_MUL1_SUB4
  ( 24,  2280)  ADD4_MUL2_SUB1
  ( 24,  2280)  ADD4_MUL2_SUB2
  ( 24,  2280)  ADD4_MUL2_SUB3
  ( 24,  2280)  ADD4_MUL2_SUB4
  ( 23,  2650)  ADD4_MUL3_SUB1
  ( 23,  2650)  ADD4_MUL3_SUB2
  ( 23,  2650)  ADD4_MUL3_SUB3
  ( 23,  2650)  ADD4_MUL3_SUB4
  ( 23,  2650)  ADD4_MUL4_SUB1
  ( 23,  2650)  ADD4_MUL4_SUB2
  ( 23,  2650)  ADD4_MUL4_SUB3
  ( 23,  2650)  ADD4_MUL4_SUB4
  ( 31,  1910)  ADD5_MUL1_SUB1
  ( 31,  1910)  ADD5_MUL1_SUB2
  ( 31,  1910)  ADD5_MUL1_SUB3
  ( 31,  1910)  ADD5_MUL1_SUB4
  ( 24,  2280)  ADD5_MUL2_SUB1
  ( 24,  2280)  ADD5_MUL2_SUB2
  ( 24,  2280)  ADD5_MUL2_SUB3
  ( 24,  2280)  ADD5_MUL2_SUB4
  ( 23,  2650)  ADD5_MUL3_SUB1
  ( 23,  2650)  ADD5_MUL3_SUB2
  ( 23,  2650)  ADD5_MUL3_SUB3
  ( 23,  2650)  ADD5_MUL3_SUB4
  ( 23,  2650)  ADD5_MUL4_SUB1
  ( 23,  2650)  ADD5_MUL4_SUB2
  ( 23,  2650)  ADD5_MUL4_SUB3
  ( 23,  2650)  ADD5_MUL4_SUB4
  ( 31,  1910)  ADD6_MUL1_SUB1
  ( 31,  1910)  ADD6_MUL1_SUB2
  ( 31,  1910)  ADD6_MUL1_SUB3
  ( 31,  1910)  ADD6_MUL1_SUB4
  ( 24,  2280)  ADD6_MUL2_SUB1
  ( 24,  2280)  ADD6_MUL2_SUB2
  ( 24,  2280)  ADD6_MUL2_SUB3
  ( 24,  2280)  ADD6_MUL2_SUB4
  ( 23,  2650)  ADD6_MUL3_SUB1
  ( 23,  2650)  ADD6_MUL3_SUB2
  ( 23,  2650)  ADD6_MUL3_SUB3
  ( 23,  2650)  ADD6_MUL3_SUB4
  ( 23,  2650)  ADD6_MUL4_SUB1
  ( 23,  2650)  ADD6_MUL4_SUB2
  ( 23,  2650)  ADD6_MUL4_SUB3
  ( 23,  2650)  ADD6_MUL4_SUB4
  ( 31,  1910)  ADD8_MUL1_SUB1
  ( 31,  1910)  ADD8_MUL1_SUB2
  ( 31,  1910)  ADD8_MUL1_SUB3
  ( 31,  1910)  ADD8_MUL1_SUB4
  ( 24,  2280)  ADD8_MUL2_SUB1
  ( 24,  2280)  ADD8_MUL2_SUB2
  ( 24,  2280)  ADD8_MUL2_SUB3
  ( 24,  2280)  ADD8_MUL2_SUB4
  ( 23,  2650)  ADD8_MUL3_SUB1
  ( 23,  2650)  ADD8_MUL3_SUB2
  ( 23,  2650)  ADD8_MUL3_SUB3
  ( 23,  2650)  ADD8_MUL3_SUB4
  ( 23,  2650)  ADD8_MUL4_SUB1
  ( 23,  2650)  ADD8_MUL4_SUB2
  ( 23,  2650)  ADD8_MUL4_SUB3
  ( 23,  2650)  ADD8_MUL4_SUB4
