================================================================================
Node ID    Type   Start  Finish  Delay  Res#  ASAP  ALAP  Mobility 
--------------------------------------------------------------------------------
n0         ADD    -1     1       1      -1    -1    -1    0        
n1         ADD    1      2       1      1     1     1     0        
n16        ADD    1      2       1      2     1     5     4        
n2         ADD    2      3       1      4     2     4     2        
n3         ADD    2      3       1      3     2     2     0        
n4         ADD    3      4       1      5     3     3     0        
n5         ADD    3      4       1      6     3     4     1        
n6         ADD    3      4       1      7     3     4     1        
n10        ADD    4      5       1      2     4     7     3        
n11        ADD    4      5       1      -1    4     5     1        
n19        MUL    4      6       2      2     4     8     4        
n33        ADD    4      5       1      3     4     13    9        
n7         ADD    4      5       1      1     4     6     2        
n8         MUL    4      6       2      -1    4     4     0        
n9         MUL    4      6       2      1     4     5     1        
n12        MUL    5      7       2      3     5     8     3        
n13        ADD    5      6       1      4     5     7     2        
n21        ADD    5      6       1      5     5     13    8        
n14        ADD    6      7       1      7     6     8     2        
n15        ADD    6      7       1      -1    6     10    4        
n17        MUL    6      8       2      4     6     9     3        
n18        ADD    6      7       1      6     6     6     0        
n25        ADD    6      7       1      1     6     11    5        
n29        ADD    6      7       1      2     6     12    6        
n20        ADD    7      8       1      3     7     10    3        
n22        MUL    7      9       2      5     7     7     0        
n34        ADD    7      8       1      4     7     12    5        
n43        MUL    7      9       2      6     7     13    6        
n48        MUL    7      9       2      7     7     14    7        
n26        ADD    8      9       1      5     8     11    3        
n27        ADD    8      9       1      -1    8     11    3        
n23        MUL    9      11      2      -1    9     9     0        
n24        ADD    9      10      1      1     9     11    2        
n32        ADD    9      10      1      2     9     14    5        
n38        ADD    9      10      1      6     9     15    6        
n40        ADD    10     11      1      7     10    15    5        
n28        ADD    11     12      1      3     11    11    0        
n36        ADD    11     12      1      4     11    13    2        
n49        ADD    11     12      1      -1    11    16    5        
n30        ADD    12     13      1      5     12    12    0        
n31        ADD    12     13      1      1     12    12    0        
n39        ADD    12     13      1      2     12    14    2        
n41        ADD    12     13      1      6     12    14    2        
n35        MUL    13     15      2      1     13    13    0        
n37        MUL    13     15      2      2     13    13    0        
n46        MUL    13     15      2      3     13    13    0        
n53        ADD    13     14      1      7     13    15    2        
n58        MUL    13     15      2      4     13    17    4        
n42        ADD    15     16      1      3     15    15    0        
n44        ADD    15     16      1      -1    15    15    0        
n45        ADD    15     16      1      1     15    17    2        
n52        ADD    15     16      1      4     15    15    0        
n63        ADD    15     16      1      2     15    20    5        
n47        ADD    16     17      1      7     16    18    2        
n50        ADD    16     17      1      5     16    16    0        
n51        ADD    16     17      1      -1    16    18    2        
n54        MUL    16     18      2      5     16    16    0        
n55        ADD    16     17      1      1     16    21    5        
n56        ADD    16     17      1      6     16    16    0        
n57        MUL    17     19      2      6     17    17    0        
n65        ADD    17     18      1      2     17    23    6        
n66        MUL    17     19      2      7     17    17    0        
n68        MUL    17     19      2      1     17    22    5        
n70        MUL    17     19      2      -1    17    19    2        
n59        ADD    18     19      1      3     18    18    0        
n60        MUL    19     21      2      2     19    19    0        
n61        MUL    19     21      2      3     19    19    0        
n62        ADD    19     20      1      -1    19    20    1        
n64        ADD    19     20      1      1     19    22    3        
n69        ADD    19     20      1      4     19    19    0        
n71        ADD    20     21      1      5     20    21    1        
n72        MUL    20     22      2      4     20    20    0        
n67        ADD    21     22      1      6     21    21    0        
n73        ADD    21     22      1      7     21    21    0        
n74        MUL    21     23      2      5     21    25    4        
n75        ADD    21     22      1      3     21    23    2        
n77        ADD    21     22      1      2     21    22    1        
n76        MUL    22     24      2      -1    22    22    0        
n78        ADD    22     23      1      4     22    23    1        
n80        ADD    22     23      1      1     22    22    0        
n81        ADD    22     23      1      -1    22    22    0        
n91        ADD    22     23      1      5     22    30    8        
n79        ADD    23     24      1      2     23    25    2        
n84        MUL    23     25      2      1     23    23    0        
n82        ADD    24     25      1      3     24    24    0        
n90        ADD    24     25      1      6     24    25    1        
n83        ADD    25     26      1      -1    25    25    0        
n86        ADD    25     26      1      7     25    25    0        
n94        ADD    25     26      1      1     25    26    1        
n100       ADD    26     27      1      6     26    32    6        
n104       ADD    26     27      1      3     26    30    4        
n85        ADD    26     27      1      5     26    26    0        
n87        ADD    26     27      1      2     26    29    3        
n89        MUL    26     28      2      6     26    27    1        
n93        ADD    26     27      1      4     26    26    0        
n88        ADD    27     28      1      1     27    27    0        
n96        ADD    27     28      1      7     27    32    5        
n97        ADD    27     28      1      -1    27    27    0        
n101       ADD    28     29      1      3     28    29    1        
n103       ADD    28     29      1      6     28    35    7        
n92        ADD    28     29      1      4     28    31    3        
n95        MUL    28     30      2      7     28    30    2        
n98        ADD    28     29      1      5     28    31    3        
n99        ADD    28     29      1      2     28    28    0        
n102       MUL    29     31      2      2     29    29    0        
n105       MUL    29     31      2      3     29    30    1        
n108       ADD    29     30      1      -1    29    31    2        
n120       ADD    29     30      1      1     29    32    3        
n109       ADD    30     31      1      2     30    33    3        
n110       ADD    30     31      1      7     30    32    2        
n106       ADD    31     32      1      3     31    31    0        
n107       ADD    31     32      1      4     31    31    0        
n113       ADD    31     32      1      5     31    32    1        
n111       ADD    32     33      1      -1    32    32    0        
n112       ADD    32     33      1      6     32    32    0        
n114       ADD    32     33      1      1     32    32    0        
n121       ADD    32     33      1      2     32    34    2        
n131       MUL    32     34      2      4     32    40    8        
n115       ADD    33     34      1      3     33    33    0        
n116       MUL    33     35      2      -1    33    33    0        
n119       ADD    33     34      1      7     33    33    0        
n128       ADD    33     34      1      4     33    35    2        
n133       MUL    33     35      2      5     33    33    0        
n142       ADD    33     34      1      5     33    41    8        
n118       ADD    34     35      1      -1    34    35    1        
n122       MUL    34     36      2      1     34    34    0        
n123       ADD    34     35      1      2     34    36    2        
n126       ADD    34     35      1      1     34    36    2        
n117       ADD    35     36      1      6     35    35    0        
n125       ADD    35     36      1      3     35    35    0        
n127       ADD    35     36      1      4     35    37    2        
n137       MUL    35     37      2      6     35    35    0        
n139       ADD    35     36      1      7     35    42    7        
n140       ADD    35     36      1      5     35    40    5        
n124       ADD    36     37      1      3     36    41    5        
n129       ADD    36     37      1      1     36    36    0        
