================================================================================
Node ID    Type   Start  Finish  Delay  Res#  ASAP  ALAP  Mobility 
--------------------------------------------------------------------------------
in0        INPUT  -1     -1      0      -1    -1    -1    0        
in1        INPUT  -1     -1      0      -1    -1    -1    0        
in2        INPUT  -1     -1      0      -1    -1    -1    0        
in3        INPUT  -1     -1      0      -1    -1    -1    0        
in4        INPUT  -1     -1      0      -1    -1    -1    0        
in5        INPUT  -1     -1      0      -1    -1    -1    0        
in6        INPUT  -1     -1      0      -1    -1    1     1        
in7        INPUT  -1     -1      0      -1    -1    2     2        
in8        INPUT  -1     -1      0      -1    -1    3     3        
n0         MUL    -1     2       2      -1    -1    -1    0        
n1         MUL    -1     2       2      1     -1    -1    0        
n2         ADD    -1     1       1      -1    -1    -1    0        
n3         SUB    2      3       1      -1    2     2     0        
n4         MUL    2      4       2      -1    1     1     0        
n5         ADD    2      3       1      1     2     2     0        
n8         SUB    3      4       1      1     3     3     0        
n6         MUL    4      6       2      1     3     3     0        
n7         ADD    4      5       1      2     3     3     0        
n10        MUL    5      7       2      -1    4     4     0        
n9         ADD    6      7       1      3     5     5     0        
n11        SUB    7      8       1      -1    6     6     0        
n12        MUL    7      9       2      1     6     21    15       
n13        ADD    8      9       1      -1    7     7     0        
n15        ADD    8      9       1      1     7     20    13       
n16        ADD    8      9       1      2     7     22    15       
n14        ADD    9      10      1      3     8     8     0        
n19        MUL    9      11      2      -1    8     21    13       
n17        MUL    10     12      2      1     9     9     0        
n18        ADD    12     13      1      -1    11    11    0        
n20        ADD    12     13      1      1     11    12    1        
n21        MUL    13     15      2      -1    12    21    9        
n22        ADD    13     14      1      2     12    12    0        
n23        ADD    13     14      1      3     12    17    5        
n26        MUL    13     15      2      1     12    21    9        
n24        ADD    14     15      1      1     13    18    5        
n25        ADD    14     15      1      -1    13    13    0        
n27        ADD    15     16      1      2     14    14    0        
n28        MUL    15     17      2      -1    14    19    5        
n31        ADD    15     16      1      3     14    16    2        
n30        MUL    16     18      2      1     15    15    0        
n29        ADD    17     18      1      1     16    22    6        
n33        ADD    17     18      1      -1    16    21    5        
n32        ADD    18     19      1      2     17    22    5        
n34        ADD    18     19      1      3     17    22    5        
n35        MUL    18     20      2      -1    17    17    0        
n36        ADD    20     21      1      -1    19    19    0        
n40        ADD    20     21      1      1     19    22    3        
n37        MUL    21     23      2      1     20    21    1        
n38        ADD    21     22      1      2     20    20    0        
n39        MUL    22     24      2      -1    21    21    0        
n41        ADD    22     23      1      3     21    22    1        
================================================================================
