================================================================================
Node ID    Type   Start  Finish  Delay  Res#  ASAP  ALAP  Mobility 
--------------------------------------------------------------------------------
b0         INPUT  -1     -1      0      -1    -1    -1    0        
b1         INPUT  -1     -1      0      -1    -1    -1    0        
b2         INPUT  -1     -1      0      -1    -1    1     1        
b3         INPUT  -1     -1      0      -1    -1    2     2        
b4         INPUT  -1     -1      0      -1    -1    3     3        
b5         INPUT  -1     -1      0      -1    -1    4     4        
b6         INPUT  -1     -1      0      -1    -1    5     5        
b7         INPUT  -1     -1      0      -1    -1    6     6        
const0     INPUT  -1     -1      0      -1    -1    6     6        
const1     INPUT  -1     -1      0      -1    -1    10    10       
const10    INPUT  -1     -1      0      -1    -1    11    11       
const11    INPUT  -1     -1      0      -1    -1    11    11       
const12    INPUT  -1     -1      0      -1    -1    10    10       
const13    INPUT  -1     -1      0      -1    -1    11    11       
const2     INPUT  -1     -1      0      -1    -1    8     8        
const3     INPUT  -1     -1      0      -1    -1    9     9        
const4     INPUT  -1     -1      0      -1    -1    10    10       
const5     INPUT  -1     -1      0      -1    -1    9     9        
const6     INPUT  -1     -1      0      -1    -1    9     9        
const7     INPUT  -1     -1      0      -1    -1    8     8        
const8     INPUT  -1     -1      0      -1    -1    11    11       
const9     INPUT  -1     -1      0      -1    -1    10    10       
m0         MUL    -1     2       2      -1    -1    -1    0        
m1         MUL    -1     2       2      1     -1    -1    0        
m2         MUL    -1     2       2      2     -1    1     1        
x0         INPUT  -1     -1      0      -1    -1    -1    0        
x1         INPUT  -1     -1      0      -1    -1    -1    0        
x2         INPUT  -1     -1      0      -1    -1    1     1        
x3         INPUT  -1     -1      0      -1    -1    2     2        
x4         INPUT  -1     -1      0      -1    -1    3     3        
x5         INPUT  -1     -1      0      -1    -1    4     4        
x6         INPUT  -1     -1      0      -1    -1    5     5        
x7         INPUT  -1     -1      0      -1    -1    6     6        
a0         ADD    2      3       1      -1    2     2     0        
m3         MUL    2      4       2      -1    -1    2     2        
m4         MUL    2      4       2      1     -1    3     3        
m5         MUL    2      4       2      2     -1    4     4        
a1         ADD    3      4       1      1     3     3     0        
a2         ADD    4      5       1      2     4     4     0        
aux0       MUL    4      6       2      -1    3     6     3        
aux1       ADD    4      5       1      3     4     10    6        
m6         MUL    4      6       2      1     -1    5     5        
m7         MUL    4      6       2      2     -1    6     6        
a3         ADD    5      6       1      -1    5     5     0        
aux2       ADD    5      6       1      1     5     8     3        
aux8       ADD    5      6       1      2     5     11    6        
a4         ADD    6      7       1      3     6     6     0        
aux3       MUL    6      8       2      -1    6     9     3        
aux7       ADD    6      7       1      -1    5     8     3        
aux9       MUL    6      8       2      1     6     10    4        
a5         ADD    7      8       1      1     7     7     0        
aux15      MUL    7      9       2      2     6     9     3        
aux4       ADD    7      8       1      2     7     10    3        
a6         ADD    8      9       1      -1    8     8     0        
aux10      ADD    8      9       1      1     8     11    3        
aux11      ADD    8      9       1      2     8     11    3        
aux5       ADD    8      9       1      3     8     9     1        
aux12      MUL    9      11      2      1     9     10    1        
aux6       MUL    9      11      2      -1    9     9     0        
out        ADD    9      10      1      -1    9     11    2        
aux13      ADD    11     12      1      1     11    11    0        
aux14      ADD    11     12      1      2     11    11    0        
================================================================================
