================================================================================
Node ID    Type   Start  Finish  Delay  Res#  ASAP  ALAP  Mobility 
--------------------------------------------------------------------------------
n0         ADD    -1     1       1      -1    -1    -1    0        
n1         ADD    1      2       1      1     1     1     0        
n3         ADD    1      2       1      2     1     5     4        
n2         ADD    2      3       1      4     2     11    9        
n4         ADD    2      3       1      3     2     2     0        
n18        ADD    3      4       1      7     3     7     4        
n49        ADD    3      4       1      -1    3     20    17       
n5         ADD    3      4       1      5     3     3     0        
n6         ADD    3      4       1      6     3     5     2        
n11        ADD    4      5       1      1     4     7     3        
n12        MUL    4      6       2      1     4     6     2        
n16        MUL    4      6       2      2     4     7     3        
n28        ADD    4      5       1      2     4     10    6        
n7         MUL    4      6       2      -1    4     4     0        
n8         ADD    4      5       1      3     4     15    11       
n19        ADD    5      6       1      -1    5     16    11       
n20        ADD    5      6       1      4     5     8     3        
n26        ADD    5      6       1      5     5     17    12       
n21        ADD    6      7       1      7     6     9     3        
n24        ADD    6      7       1      1     6     16    10       
n31        MUL    6      8       2      3     6     17    11       
n9         ADD    6      7       1      6     6     6     0        
n10        MUL    7      9       2      4     7     11    4        
n13        ADD    7      8       1      2     7     7     0        
n25        MUL    7      9       2      5     7     17    10       
n14        ADD    8      9       1      3     8     8     0        
n17        ADD    8      9       1      4     8     16    8        
n37        ADD    8      9       1      -1    8     15    7        
n15        ADD    9      10      1      5     9     9     0        
n22        ADD    9      10      1      1     9     16    7        
n33        MUL    9      11      2      6     9     11    2        
n45        ADD    9      10      1      7     9     19    10       
n50        ADD    9      10      1      6     9     19    10       
n23        MUL    10     12      2      7     10    10    0        
n27        ADD    10     11      1      -1    10    17    7        
n29        ADD    10     11      1      1     10    30    20       
n30        ADD    10     11      1      3     10    18    8        
n35        ADD    10     11      1      2     10    14    4        
n43        ADD    10     11      1      4     10    28    18       
n34        ADD    11     12      1      5     11    18    7        
n48        MUL    11     13      2      -1    11    19    8        
n51        ADD    11     12      1      6     11    20    9        
n57        ADD    11     12      1      7     11    20    9        
n32        ADD    12     13      1      -1    12    12    0        
n39        ADD    12     13      1      1     12    25    13       
n36        MUL    13     15      2      1     13    13    0        
n46        ADD    13     14      1      3     13    23    10       
n47        ADD    13     14      1      2     13    18    5        
n71        MUL    13     15      2      2     13    27    14       
n68        ADD    14     15      1      4     14    32    18       
n38        ADD    15     16      1      5     15    15    0        
n60        ADD    15     16      1      6     15    19    4        
n40        ADD    16     17      1      7     16    16    0        
n53        ADD    16     17      1      -1    16    21    5        
n41        ADD    17     18      1      2     17    20    3        
n42        ADD    17     18      1      1     17    17    0        
n44        ADD    18     19      1      4     18    25    7        
n52        ADD    18     19      1      3     18    18    0        
n55        MUL    18     20      2      4     18    24    6        
n61        MUL    18     20      2      3     18    21    3        
n54        ADD    19     20      1      5     19    19    0        
n58        ADD    19     20      1      6     19    28    9        
n91        ADD    19     20      1      -1    19    33    14       
n56        ADD    20     21      1      7     20    26    6        
n62        MUL    20     22      2      5     20    20    0        
n74        ADD    20     21      1      2     20    30    10       
n88        ADD    20     21      1      1     20    29    9        
n59        MUL    21     23      2      6     21    27    6        
n72        ADD    21     22      1      3     21    31    10       
n63        ADD    22     23      1      -1    22    24    2        
n64        ADD    22     23      1      4     22    22    0        
n65        MUL    23     25      2      7     23    23    0        
n66        ADD    23     24      1      5     23    26    3        
n67        ADD    23     24      1      6     23    26    3        
n75        ADD    23     24      1      1     23    31    8        
n77        ADD    23     24      1      2     23    32    9        
n70        ADD    24     25      1      7     24    27    3        
n80        MUL    24     26      2      -1    24    29    5        
n69        ADD    25     26      1      3     25    25    0        
n85        MUL    25     27      2      1     25    28    3        
n101       ADD    26     27      1      1     26    35    9        
n73        ADD    26     27      1      4     26    27    1        
n76        ADD    26     27      1      -1    26    26    0        
n78        MUL    27     29      2      3     27    28    1        
n79        MUL    27     29      2      2     27    27    0        
n81        ADD    27     28      1      2     27    30    3        
n92        MUL    27     29      2      4     27    30    3        
n90        MUL    28     30      2      5     28    31    3        
n82        ADD    29     30      1      5     29    29    0        
n84        MUL    29     31      2      6     29    29    0        
n93        ADD    29     30      1      6     29    32    3        
n102       MUL    30     32      2      -1    30    33    3        
n106       ADD    30     31      1      -1    30    36    6        
n83        ADD    30     31      1      7     30    33    3        
n87        MUL    30     32      2      7     30    30    0        
n89        ADD    30     31      1      3     30    33    3        
n99        MUL    30     32      2      1     30    34    4        
n107       ADD    31     32      1      4     31    34    3        
n86        ADD    31     32      1      1     31    31    0        
n105       ADD    32     33      1      6     32    34    2        
n110       ADD    32     33      1      5     32    33    1        
n112       ADD    32     33      1      -1    32    36    4        
n94        ADD    32     33      1      2     32    33    1        
n95        MUL    32     34      2      2     32    32    0        
n96        MUL    32     34      2      3     32    32    0        
n100       MUL    33     35      2      4     33    34    1        
n113       ADD    33     34      1      7     33    37    4        
n114       ADD    33     34      1      1     33    39    6        
n118       ADD    33     34      1      3     33    37    4        
n108       ADD    34     35      1      -1    34    34    0        
n111       ADD    34     35      1      4     34    34    0        
n120       ADD    34     35      1      5     34    38    4        
n134       ADD    34     35      1      6     34    43    9        
n147       MUL    34     36      2      5     34    44    10       
n97        ADD    34     35      1      2     34    35    1        
n103       ADD    35     36      1      7     35    36    1        
n104       MUL    35     37      2      -1    35    38    3        
n109       ADD    35     36      1      3     35    35    0        
n115       ADD    35     36      1      1     35    35    0        
n98        MUL    35     37      2      6     35    36    1        
n116       ADD    36     37      1      -1    36    36    0        
n117       ADD    36     37      1      4     36    37    1        
n119       ADD    36     37      1      2     36    36    0        
n125       ADD    36     37      1      5     36    38    2        
n130       MUL    36     38      2      1     36    41    5        
n121       ADD    37     38      1      6     37    37    0        
n123       ADD    37     38      1      1     37    38    1        
n126       ADD    37     38      1      3     37    39    2        
n127       ADD    37     38      1      7     37    42    5        
n122       MUL    38     40      2      7     38    38    0        
n124       MUL    38     40      2      2     38    38    0        
n128       ADD    38     39      1      -1    38    39    1        
n133       ADD    38     39      1      2     38    43    5        
n154       ADD    39     40      1      4     39    48    9        
n129       ADD    40     41      1      5     40    40    0        
n131       ADD    40     41      1      1     40    40    0        
